X,index,Artist,Followers,Genres,NumAlbums,YearFirstAlbum,Gender,Group_Solo,Features,Week,Total_streams
0,0,ed sheeran,52698756,"pop,uk pop",8,2011,M,Solo,,20/07/2018,936155298
1,1,justin bieber,30711450,"canadian pop,dance pop,pop,post-teen pop",10,2009,M,Solo,,14/12/2018,45434488
2,2,jonas brothers,3069527,"boy band,dance pop,pop,post-teen pop",10,2006,M,Group,,12/04/2019,182558398
3,3,drake,41420478,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap",11,2010,M,Solo,,20/07/2018,3441947366
4,4,chris brown,9676862,"dance pop,pop,pop rap,r&b,rap",6,2005,M,Solo,,10/11/2017,138334163
5,5,taylor swift,23709128,"dance pop,pop,post-teen pop",10,2006,F,Solo,,20/07/2018,391154997
6,6,blake shelton,4511508,"contemporary country,country,country road",12,2001,M,Solo,,14/06/2019,18500011
7,7,nicki minaj,16331335,"dance pop,hip pop,pop,pop rap,post-teen pop,rap",10,2010,F,Solo,Ariana Grande,20/07/2018,154055933
8,8,panic! at the disco,8129075,"baroque pop,emo,modern rock,pop punk",8,2005,M,Group,,20/07/2018,242472513
9,9,lee brice,1094596,"contemporary country,country,country road,modern country rock",4,2010,M,Solo,,14/06/2019,12449485
10,10,katy perry,14004245,"dance pop,pop,post-teen pop",7,2008,F,Solo,,10/03/2017,90506112
11,11,young thug,4471452,"atl hip hop,atl trap,gangster rap,melodic rap,pop,pop rap,rap,trap music",17,2011,M,Solo,Future,10/11/2017,313114955
12,12,j. cole,9417086,"conscious hip hop,hip hop,nc hip hop,pop rap,rap",9,2009,M,Solo,,20/07/2018,891696331
13,13,daddy yankee,14076638,"latin,latin hip hop,pop,reggaeton,tropical",9,2002,M,Solo,,12/04/2019,72928656
14,14,migos,9473441,"atl hip hop,pop,pop rap,rap,southern hip hop,trap music",13,2011,M,Group,,20/07/2018,1383674102
15,15,meek mill,3591329,"hip hop,philly rap,pop,pop rap,rap,southern hip hop,trap music",32,2011,M,Solo,Swizz Beatz,20/07/2018,314311542
16,16,lady gaga,9370435,"dance pop,pop",9,2008,F,Solo,,10/03/2017,208830241
17,18,yg,1916093,"cali rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",11,2011,M,Solo,,20/07/2018,194355766
18,19,dj khaled,4249473,"hip hop,miami hip hop,pop,pop rap,rap,southern hip hop,trap music",10,2007,M,Solo,"Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",10/11/2017,534008748
19,20,luke bryan,4556839,"contemporary country,country,country road",10,2007,M,Solo,,07/06/2019,4665657
20,21,p!nk,7214210,"dance pop,pop,post-teen pop",8,2000,F,Solo,,10/11/2017,53411156
21,22,bruno mars,22677758,"dance pop,pop,post-teen pop",3,2010,M,Solo,,10/11/2017,423831249
22,24,jason aldean,3363492,"contemporary country,country,country road",8,2005,M,Solo,,20/07/2018,67057920
23,25,gucci mane,2904919,"atl hip hop,dirty south rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",132,2005,M,Solo,Migos,20/07/2018,516962115
24,27,chris young,1605863,"contemporary country,country,country road,modern country rock",8,2006,M,Solo,,10/11/2017,9354337
25,28,eli young band,523571,"contemporary country,country,country road,heartland rock,modern country rock,outlaw country,red dirt,texas country",7,2005,M,Group,,07/06/2019,4818822
26,31,nicky jam,10051233,"latin,latin hip hop,pop,reggaeton,tropical",8,2001,M,Solo,,20/07/2018,79172033
27,32,nipsey hussle,1114710,"conscious hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap music",19,2009,M,Solo,Roddy Ricch and Hit-Boy,12/04/2019,54590859
28,33,yo gotti,2583062,"dirty south rap,gangster rap,hip hop,memphis hip hop,pop,pop rap,rap,southern hip hop,trap music",28,2006,M,Solo,,10/11/2017,119972866
29,35,miley cyrus,10054490,"dance pop,pop,post-teen pop",9,2007,F,Solo,,25/08/2017,91090164
30,36,maroon 5,20445189,pop,11,2002,M,Group,Cardi B,20/07/2018,454386939
31,38,2 chainz,4943181,"atl hip hop,gangster rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",17,2010,M,Solo,"Drake, Quavo",20/07/2018,275432430
32,39,ellie goulding,7039401,"dance pop,edm,electropop,metropopolis,pop,post-teen pop,tropical house,uk pop",5,2010,F,Solo,,07/06/2019,16381751
33,40,diplo,2096548,"bmore,edm,moombahton,ninja,pop",8,2004,M,Solo,Trippie Redd,18/05/2018,13762718
34,41,schoolboy q,2774150,"hip hop,pop,pop rap,rap,southern hip hop,trap music,underground hip hop",7,2011,M,Solo,,12/04/2019,63720806
35,42,french montana,3080724,"hip hop,pop,pop rap,rap,southern hip hop,trap music",16,2007,M,Solo,,20/07/2018,384185423
36,45,aventura,3155939,"bachata,latin,latin hip hop,latin pop,tropical",9,1999,M,Group,,12/04/2019,1519370
37,48,mark ronson,691165,"dance pop,pop",5,2003,M,Solo,Miley Cyrus,14/12/2018,43747379
